name,author,narrator,time,releasedate,language,stars,price,ratings
Geronimo Stilton #11 & #12,GeronimoStilton,BillLobely,140,2008-04-08,English,5.0,468.0,34.0
The Burning Maze,RickRiordan,RobbieDaymond,788,2018-01-05,English,4.5,820.0,41.0
The Deep End,JeffKinney,DanRussell,123,2020-06-11,English,4.5,410.0,38.0
Daughter of the Deep,RickRiordan,SoneelaNankani,676,2021-05-10,English,4.5,615.0,12.0
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,JesseBernstein,600,2010-01-13,English,4.5,820.0,181.0
The Hunger Games: Special Edition,SuzanneCollins,TatianaMaslany,635,2018-10-30,English,5.0,656.0,72.0
Quest for the Diamond Sword,WinterMorgan,LukeDaniels,143,2014-11-25,English,5.0,233.0,11.0
The Dark Prophecy,RickRiordan,RobbieDaymond,752,2017-02-05,English,5.0,820.0,50.0
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,656,2017-02-05,English,5.0,1256.0,5.0
The Tyrant’s Tomb,RickRiordan,RobbieDaymond,802,2019-09-24,English,5.0,820.0,58.0
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,JesseBernstein,528,2010-01-14,English,4.5,820.0,130.0
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,323,2011-08-24,English,5.0,1206.0,6.0
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,361,2011-09-27,English,5.0,1206.0,7.0
Magnus Chase and the Ship of the Dead,RickRiordan,MichaelCrouch,778,2017-03-10,English,5.0,820.0,41.0
Northern Lights,PhilipPullman,"PhilipPullman,fullcast,RuthWilson",715,2021-06-24,English,4.0,1093.0,2.0
Geronimo Stilton #13 and #14,GeronimoStilton,BillLobley,145,2008-08-02,English,4.5,467.0,33.0
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,304,2004-12-26,English,5.0,1206.0,7.0
Exile,ShannonMessenger,CaitlinKelly,881,2018-06-11,English,5.0,836.0,20.0
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,618,2017-02-05,English,5.0,1256.0,11.0
Neverseen,ShannonMessenger,CaitlinKelly,1002,2018-06-11,English,5.0,1003.0,13.0
The Tower of Nero,RickRiordan,RobbieDaymond,732,2020-06-10,English,5.0,615.0,79.0
