Membership No  Date Joined  Active  
    33198      2015-6-20    no    
    65894      2015-5-1     no    
    11569      2015-10-6    no    
    85332      2015-10-1    yes   
    42496      2016-5-14    no    
    62700      2015-10-16   no    
    19457      2017-7-6     yes   
    16067      2018-5-11    no    
    98949      2018-2-15    no    
    51728      2019-10-2    yes   
    87836      2019-5-24    yes   
    41587      2020-4-7     no    
    88099      2019-5-20    no    
    51324      2018-5-25    yes   
    12047      2015-3-16    no    
    77300      2019-1-11    no    
    18616      2020-7-18    yes   
    96728      2017-3-15    yes   
    34784      2019-12-3    no    
    47080      2017-11-18   yes   
